"Date","Price","Open","High","Low","Vol.","Change %"
"04/20/2022","4.69","4.68","4.70","4.67","76.57K","0.76%"
"04/19/2022","4.66","4.69","4.69","4.66","822.93K","-1.25%"
"04/14/2022","4.72","4.77","4.77","4.71","46.27K","-0.62%"
"04/13/2022","4.74","4.74","4.74","4.72","984.95K","0.00%"
"04/12/2022","4.74","4.74","4.75","4.71","85.28K","0.34%"
"04/11/2022","4.73","4.76","4.76","4.73","3.10M","-0.46%"
"04/08/2022","4.75","4.80","4.80","4.75","93.30K","-0.47%"
"04/07/2022","4.77","4.79","4.79","4.77","56.50K","-0.30%"
"04/06/2022","4.79","4.80","4.80","4.77","85.54K","-0.32%"
"04/05/2022","4.80","4.84","4.84","4.80","344.98K","-0.80%"
"04/04/2022","4.84","4.84","4.85","4.83","183.27K","0.00%"
"04/01/2022","4.84","4.87","4.87","4.82","140.95K","-0.77%"
"03/31/2022","4.88","4.88","4.88","4.86","1.32M","0.39%"
"03/30/2022","4.86","4.85","4.86","4.84","255.30K","0.53%"
"03/29/2022","4.83","4.81","4.84","4.80","92.53K","0.49%"
"03/28/2022","4.81","4.81","4.83","4.79","348.15K","-0.32%"
"03/25/2022","4.82","4.86","4.86","4.82","25.21K","-0.32%"
"03/24/2022","4.84","4.86","4.86","4.83","380.01K","-0.24%"
"03/23/2022","4.85","4.86","4.86","4.82","778.91K","-0.10%"
"03/22/2022","4.86","4.87","4.87","4.84","511.05K","-0.48%"
"03/21/2022","4.88","4.91","4.91","4.88","38.85K","-0.46%"
"03/18/2022","4.90","4.93","4.93","4.89","41.00K","0.00%"
"03/17/2022","4.90","4.89","4.90","4.88","89.62K","0.43%"
"03/16/2022","4.88","4.88","4.88","4.86","139.36K","0.10%"
"03/15/2022","4.87","4.90","4.90","4.87","76.43K","-0.20%"
"03/14/2022","4.88","4.90","4.92","4.86","33.82K","-0.54%"
"03/11/2022","4.91","4.95","4.95","4.91","93.09K","-0.16%"
"03/10/2022","4.92","4.97","4.98","4.91","96.50K","-0.76%"
"03/09/2022","4.95","4.94","4.97","4.94","1.01M","0.95%"
"03/08/2022","4.91","4.96","4.98","4.91","71.98K","-1.10%"
"03/07/2022","4.96","5.00","5.00","4.95","849.89K","-0.81%"
"03/04/2022","5.00","5.00","5.03","4.98","43.53K","0.18%"
"03/03/2022","4.99","5.03","5.03","4.97","1.20M","-0.87%"
"03/02/2022","5.04","5.04","5.06","5.01","122.62K","-0.16%"
"03/01/2022","5.05","5.04","5.07","5.03","782.84K","0.81%"
"02/28/2022","5.01","5.03","5.03","4.99","22.89K","0.35%"
"02/25/2022","4.99","4.99","5.02","4.98","64.11K","0.33%"
"02/24/2022","4.97","4.96","5.01","4.96","23.70K","-0.68%"
"02/23/2022","5.01","5.01","5.01","4.99","11.59K","-0.11%"
"02/22/2022","5.01","5.05","5.05","5.01","38.89K","-0.18%"
"02/21/2022","5.02","5.03","5.03","5.02","51.71K","0.00%"
"02/18/2022","5.02","5.02","5.03","5.01","29.48K","-0.11%"
"02/17/2022","5.03","5.02","5.03","5.01","107.04K","0.32%"
"02/16/2022","5.01","5.00","5.01","5.00","74.23K","0.22%"
"02/15/2022","5.00","5.00","5.03","4.98","58.85K","0.15%"
"02/14/2022","4.99","5.05","5.05","5.00","57.58K","-0.42%"
"02/11/2022","5.01","5.04","5.04","5.01","519.21K","-0.28%"
"02/10/2022","5.03","5.05","5.05","5.01","448.11K","-0.41%"
"02/09/2022","5.05","5.07","5.07","5.03","52.13K","0.47%"
"02/08/2022","5.02","5.06","5.06","5.02","113.51K","-0.46%"
"02/07/2022","5.05","5.09","5.09","5.05","91.82K","-0.44%"
"02/04/2022","5.07","5.11","5.11","5.05","40.12K","-0.38%"
"02/03/2022","5.09","5.12","5.12","5.08","245.12K","-0.23%"
"02/02/2022","5.10","5.11","5.11","5.09","114.02K","0.25%"
"02/01/2022","5.09","5.11","5.11","5.08","52.93K","0.45%"
"01/31/2022","5.06","5.09","5.10","5.06","165.23K","-0.23%"
"01/28/2022","5.08","5.10","5.10","5.06","1.19M","0.00%"
"01/27/2022","5.08","5.07","5.11","5.05","137.54K","-0.57%"
"01/26/2022","5.11","5.12","5.14","5.11","36.59K","-0.21%"
"01/25/2022","5.12","5.13","5.16","5.11","208.68K","-0.31%"
"01/24/2022","5.13","5.14","5.14","5.13","59.55K","0.12%"
"01/21/2022","5.13","5.13","5.16","5.13","120.34K","0.21%"
"01/20/2022","5.12","5.12","5.12","5.11","50.96K","0.00%"
"01/19/2022","5.11","5.12","5.12","5.10","286.52K","0.00%"
"01/18/2022","5.11","5.13","5.13","5.11","68.96K","-0.22%"
"01/17/2022","5.12","5.15","5.15","5.12","52.04K","-0.49%"
"01/14/2022","5.15","5.18","5.18","5.14","83.07K","-0.18%"
"01/13/2022","5.16","5.17","5.17","5.14","76.32K","-0.34%"
"01/12/2022","5.18","5.19","5.19","5.16","55.32K","0.43%"
"01/11/2022","5.15","5.14","5.17","5.14","115.04K","0.31%"
"01/10/2022","5.14","5.15","5.17","5.14","144.86K","-0.12%"
"01/07/2022","5.14","5.16","5.18","5.14","309.11K","-0.27%"
"01/06/2022","5.16","5.17","5.18","5.15","495.81K","-0.27%"
"01/05/2022","5.17","5.20","5.21","5.17","66.31K","0.00%"
"01/04/2022","5.17","5.20","5.20","5.15","193.82K","-0.80%"
"12/31/2021","5.21","5.24","5.24","5.20","9.52K","0.24%"
"12/30/2021","5.20","5.22","5.22","5.20","37.81K","-0.27%"
"12/29/2021","5.22","5.22","5.25","5.20","120.02K","0.00%"
"12/24/2021","5.21","5.20","5.25","5.20","12.14K","0.00%"
"12/23/2021","5.21","5.25","5.25","5.21","43.47K","-0.11%"
"12/22/2021","5.22","5.23","5.23","5.20","133.37K","0.31%"
"12/21/2021","5.20","5.24","5.24","5.20","155.63K","-0.61%"
"12/20/2021","5.24","5.27","5.27","5.22","186.15K","-0.27%"
"12/17/2021","5.25","5.27","5.27","5.24","30.01K","0.33%"
"12/16/2021","5.23","5.26","5.26","5.22","92.58K","0.00%"
"12/15/2021","5.23","5.26","5.26","5.22","33.65K","-0.12%"
"12/14/2021","5.23","5.25","5.27","5.23","101.88K","-0.13%"
"12/13/2021","5.24","5.23","5.24","5.22","67.05K","0.00%"
"12/10/2021","5.24","5.25","5.25","5.22","20.94K","0.19%"
"12/09/2021","5.23","5.24","5.24","5.23","146.02K","0.00%"
"12/08/2021","5.23","5.24","5.26","5.22","273.89K","0.00%"
"12/07/2021","5.23","5.25","5.26","5.22","72.72K","-0.23%"
"12/06/2021","5.24","5.25","5.25","5.24","1.50M","0.21%"
"12/03/2021","5.23","5.20","5.24","5.20","167.34K","0.00%"
"12/02/2021","5.23","5.22","5.25","5.22","912.24K","0.00%"
"12/01/2021","5.23","5.26","5.26","5.22","574.26K","0.00%"
"11/30/2021","5.22","5.26","5.26","5.21","291.37K","0.29%"
