sep=;
"Date";"Open(QEURIBOR1MD=)";"High(QEURIBOR1MD=)";"Low(QEURIBOR1MD=)";"Last(QEURIBOR1MD=)"
"14.12.1993";"";"";"";"6,325"
"13.12.1993";"";"";"";"6,283"
"10.12.1993";"";"";"";"6,287"
"09.12.1993";"";"";"";"6,291"
"08.12.1993";"";"";"";"6,302"
"07.12.1993";"";"";"";"6,308"
"06.12.1993";"";"";"";"6,312"
"03.12.1993";"";"";"";"6,309"
"02.12.1993";"";"";"";"6,405"
"01.12.1993";"";"";"";"6,457"
"30.11.1993";"";"";"";"6,468"
"29.11.1993";"";"";"";"6,441"
"26.11.1993";"";"";"";"6,358"
"25.11.1993";"";"";"";"6,355"
"24.11.1993";"";"";"";"6,321"
"23.11.1993";"";"";"";"6,305"
"22.11.1993";"";"";"";"6,304"
"19.11.1993";"";"";"";"6,303"
"18.11.1993";"";"";"";"6,302"
"16.11.1993";"";"";"";"6,343"
"15.11.1993";"";"";"";"6,395"
"12.11.1993";"";"";"";"6,43"
"11.11.1993";"";"";"";"6,47"
"10.11.1993";"";"";"";"6,5"
"09.11.1993";"";"";"";"6,506"
"08.11.1993";"";"";"";"6,525"
"05.11.1993";"";"";"";"6,531"
"04.11.1993";"";"";"";"6,542"
"03.11.1993";"";"";"";"6,552"
"02.11.1993";"";"";"";"6,552"
"29.10.1993";"";"";"";"6,57"
"28.10.1993";"";"";"";"6,573"
"27.10.1993";"";"";"";"6,552"
"26.10.1993";"";"";"";"6,552"
"25.10.1993";"";"";"";"6,551"
"22.10.1993";"";"";"";"6,551"
"21.10.1993";"";"";"";"6,75"
"20.10.1993";"";"";"";"6,75"
"19.10.1993";"";"";"";"6,772"
"18.10.1993";"";"";"";"6,777"
"15.10.1993";"";"";"";"6,801"
"14.10.1993";"";"";"";"6,801"
"13.10.1993";"";"";"";"6,831"
"12.10.1993";"";"";"";"6,852"
"11.10.1993";"";"";"";"6,858"
"08.10.1993";"";"";"";"6,857"
"07.10.1993";"";"";"";"6,872"
"06.10.1993";"";"";"";"6,877"
"05.10.1993";"";"";"";"6,863"
"04.10.1993";"";"";"";"6,865"
"01.10.1993";"";"";"";"6,855"
"30.09.1993";"";"";"";"6,855"
"29.09.1993";"";"";"";"6,857"
"28.09.1993";"";"";"";"6,858"
"27.09.1993";"";"";"";"6,857"
"24.09.1993";"";"";"";"6,855"
"23.09.1993";"";"";"";"6,853"
"22.09.1993";"";"";"";"6,853"
"21.09.1993";"";"";"";"6,852"
"20.09.1993";"";"";"";"6,855"
"17.09.1993";"";"";"";"6,806"
"16.09.1993";"";"";"";"6,803"
"15.09.1993";"";"";"";"6,803"
"14.09.1993";"";"";"";"6,811"
"13.09.1993";"";"";"";"6,803"
"10.09.1993";"";"";"";"6,856"
"09.09.1993";"";"";"";"6,856"
"08.09.1993";"";"";"";"6,852"
"07.09.1993";"";"";"";"6,839"
"06.09.1993";"";"";"";"6,857"
"03.09.1993";"";"";"";"6,862"
"02.09.1993";"";"";"";"6,897"
"01.09.1993";"";"";"";"6,908"
"31.08.1993";"";"";"";"6,905"
"30.08.1993";"";"";"";"6,895"
"27.08.1993";"";"";"";"6,871"
"26.08.1993";"";"";"";"6,808"
"25.08.1993";"";"";"";"6,81"
"24.08.1993";"";"";"";"6,803"
"23.08.1993";"";"";"";"6,804"
"20.08.1993";"";"";"";"6,804"
"19.08.1993";"";"";"";"6,803"
"18.08.1993";"";"";"";"6,801"
"17.08.1993";"";"";"";"6,791"
"16.08.1993";"";"";"";"6,767"
"13.08.1993";"";"";"";"6,785"
"12.08.1993";"";"";"";"6,802"
"11.08.1993";"";"";"";"6,83"
"10.08.1993";"";"";"";"6,855"
"09.08.1993";"";"";"";"6,704"
"06.08.1993";"";"";"";"6,704"
"05.08.1993";"";"";"";"6,767"
"04.08.1993";"";"";"";"6,802"
"03.08.1993";"";"";"";"6,817"
"02.08.1993";"";"";"";"6,99"
"30.07.1993";"";"";"";"7,055"
"29.07.1993";"";"";"";"7,052"
"28.07.1993";"";"";"";"7,058"
"27.07.1993";"";"";"";"7,062"
"26.07.1993";"";"";"";"7,122"
"23.07.1993";"";"";"";"7,199"
"22.07.1993";"";"";"";"7,25"
"21.07.1993";"";"";"";"7,25"
"20.07.1993";"";"";"";"7,25"
"19.07.1993";"";"";"";"7,257"
"16.07.1993";"";"";"";"7,33"
"15.07.1993";"";"";"";"7,352"
"14.07.1993";"";"";"";"7,404"
"13.07.1993";"";"";"";"7,438"
"12.07.1993";"";"";"";"7,467"
"09.07.1993";"";"";"";"7,5"
"08.07.1993";"";"";"";"7,5"
"07.07.1993";"";"";"";"7,503"
"06.07.1993";"";"";"";"7,551"
"05.07.1993";"";"";"";"7,584"
