sep=;
"Date";"Line(Q.MERHE00)"
"01.06.2022";"316,476"
"31.05.2022";"316,59"
"30.05.2022";"316,717"
"27.05.2022";"316,073"
"26.05.2022";"315,005"
"25.05.2022";"314,189"
"24.05.2022";"314,384"
"23.05.2022";"314,72"
"20.05.2022";"314,787"
"19.05.2022";"314,546"
"18.05.2022";"316,622"
"17.05.2022";"316,831"
"16.05.2022";"316,038"
"13.05.2022";"315,693"
"12.05.2022";"315,097"
"11.05.2022";"315,191"
"10.05.2022";"313,539"
"09.05.2022";"312,444"
"06.05.2022";"314,938"
"05.05.2022";"318,04"
"04.05.2022";"318,308"
"03.05.2022";"319,465"
"02.05.2022";"320,078"
"29.04.2022";"320,576"
"28.04.2022";"321,467"
"27.04.2022";"321,875"
"26.04.2022";"323,789"
"25.04.2022";"324,207"
"22.04.2022";"325,325"
"21.04.2022";"325,775"
"20.04.2022";"325,671"
"19.04.2022";"325,609"
"18.04.2022";"326,36"
"14.04.2022";"326,228"
"13.04.2022";"326,348"
"12.04.2022";"326,964"
"11.04.2022";"327,935"
"08.04.2022";"328,649"
"07.04.2022";"328,919"
"06.04.2022";"329,59"
"05.04.2022";"330,599"
"04.04.2022";"330,676"
"01.04.2022";"330,131"
"31.03.2022";"330,072"
"30.03.2022";"329,912"
"29.03.2022";"329,565"
"28.03.2022";"328,604"
"25.03.2022";"328,659"
"24.03.2022";"328,834"
"23.03.2022";"329,218"
"22.03.2022";"329,067"
"21.03.2022";"329,316"
"18.03.2022";"328,493"
"17.03.2022";"327,709"
"16.03.2022";"326,022"
"15.03.2022";"324,706"
"14.03.2022";"325,683"
"11.03.2022";"326,092"
"10.03.2022";"325,903"
"09.03.2022";"325,997"
"08.03.2022";"324,97"
"07.03.2022";"325,738"
"04.03.2022";"328,957"
"03.03.2022";"329,998"
"02.03.2022";"330,352"
"01.03.2022";"331,024"
"28.02.2022";"330,48"
"25.02.2022";"331,539"
"24.02.2022";"330,154"
"23.02.2022";"333,264"
"22.02.2022";"332,938"
"21.02.2022";"334,229"
"18.02.2022";"334,995"
"17.02.2022";"335,227"
"16.02.2022";"335,163"
"15.02.2022";"334,545"
"14.02.2022";"334,094"
"11.02.2022";"335,635"
"10.02.2022";"336,57"
"09.02.2022";"336,961"
"08.02.2022";"335,655"
"07.02.2022";"335,024"
"04.02.2022";"337,292"
"03.02.2022";"340,707"
"02.02.2022";"342,196"
"01.02.2022";"341,667"
"31.01.2022";"341,523"
"28.01.2022";"342,478"
"27.01.2022";"343,661"
"26.01.2022";"344,343"
"25.01.2022";"343,783"
"24.01.2022";"344,324"
"21.01.2022";"345,252"
"20.01.2022";"345,649"
"19.01.2022";"345,59"
"18.01.2022";"345,707"
"17.01.2022";"346,396"
"14.01.2022";"346,663"
"13.01.2022";"347,112"
"12.01.2022";"347,013"
"11.01.2022";"346,88"
"10.01.2022";"347"
"07.01.2022";"347,275"
"06.01.2022";"347,356"
"05.01.2022";"347,61"
"04.01.2022";"347,338"
"03.01.2022";"346,928"
"31.12.2021";"346,818"
"30.12.2021";"346,771"
"29.12.2021";"346,737"
"28.12.2021";"346,706"
"27.12.2021";"346,566"
"23.12.2021";"346,59"
"22.12.2021";"346,534"
"21.12.2021";"346,431"
"20.12.2021";"346,423"
"17.12.2021";"346,628"
"16.12.2021";"346,553"
"15.12.2021";"346,536"
"14.12.2021";"346,547"
"13.12.2021";"346,599"
"10.12.2021";"346,425"
"09.12.2021";"346,418"
"08.12.2021";"346,275"
"07.12.2021";"346,388"
"06.12.2021";"345,534"
"03.12.2021";"345,304"
"02.12.2021";"344,942"
"01.12.2021";"344,659"
"30.11.2021";"343,781"
"29.11.2021";"343,982"
"26.11.2021";"344,01"
"25.11.2021";"345,784"
"24.11.2021";"346,004"
"23.11.2021";"346,489"
"22.11.2021";"346,978"
"19.11.2021";"347,209"
"18.11.2021";"347,213"
"17.11.2021";"347,008"
"16.11.2021";"347,061"
"15.11.2021";"347,12"
"12.11.2021";"347,172"
"11.11.2021";"347,315"
"10.11.2021";"347,588"
"09.11.2021";"347,687"
"08.11.2021";"347,713"
"05.11.2021";"347,327"
"04.11.2021";"346,709"
"03.11.2021";"346,011"
"02.11.2021";"345,935"
"01.11.2021";"345,823"
"29.10.2021";"345,801"
"28.10.2021";"346,289"
"27.10.2021";"346,25"
"26.10.2021";"345,895"
"25.10.2021";"345,443"
"22.10.2021";"345,667"
"21.10.2021";"345,738"
"20.10.2021";"346"
"19.10.2021";"346,003"
"18.10.2021";"346"
"15.10.2021";"346,313"
"14.10.2021";"345,99"
"13.10.2021";"345,089"
"12.10.2021";"344,852"
"11.10.2021";"345,677"
"08.10.2021";"346,358"
"07.10.2021";"346,399"
"06.10.2021";"346,132"
"05.10.2021";"347,115"
"04.10.2021";"347,558"
"01.10.2021";"347,59"
"30.09.2021";"347,954"
"29.09.2021";"348,156"
"28.09.2021";"348,173"
"27.09.2021";"348,803"
"24.09.2021";"348,941"
"23.09.2021";"349,262"
"22.09.2021";"349,447"
"21.09.2021";"349,344"
"20.09.2021";"349,291"
"17.09.2021";"349,719"
"16.09.2021";"349,834"
"15.09.2021";"349,65"
"14.09.2021";"349,39"
"13.09.2021";"349,191"
"10.09.2021";"348,979"
"09.09.2021";"348,855"
"08.09.2021";"348,736"
"07.09.2021";"348,768"
"06.09.2021";"348,721"
"03.09.2021";"348,581"
"02.09.2021";"348,549"
"01.09.2021";"348,416"
"31.08.2021";"348,278"
"30.08.2021";"348,199"
"27.08.2021";"348,051"
"26.08.2021";"348,033"
"25.08.2021";"348,084"
"24.08.2021";"348,098"
"23.08.2021";"348,045"
"20.08.2021";"347,934"
"19.08.2021";"347,903"
"18.08.2021";"348,019"
"17.08.2021";"347,918"
"16.08.2021";"347,978"
"13.08.2021";"348,006"
"12.08.2021";"347,989"
"11.08.2021";"347,971"
"10.08.2021";"348,03"
"09.08.2021";"348,095"
"06.08.2021";"348,058"
"05.08.2021";"348,07"
"04.08.2021";"347,79"
"03.08.2021";"347,518"
"02.08.2021";"347,279"
"30.07.2021";"347,083"
"29.07.2021";"346,968"
"28.07.2021";"346,669"
"27.07.2021";"346,62"
"26.07.2021";"346,569"
"23.07.2021";"346,436"
"22.07.2021";"346,288"
"21.07.2021";"346,037"
"20.07.2021";"345,84"
"19.07.2021";"346,059"
"16.07.2021";"346,319"
"15.07.2021";"346,26"
"14.07.2021";"346,208"
"13.07.2021";"346,152"
"12.07.2021";"346,063"
"09.07.2021";"345,922"
"08.07.2021";"345,88"
"07.07.2021";"346,083"
"06.07.2021";"345,923"
"05.07.2021";"345,812"
"02.07.2021";"345,766"
"01.07.2021";"345,68"
"30.06.2021";"345,715"
"29.06.2021";"345,753"
"28.06.2021";"345,778"
"25.06.2021";"345,684"
"24.06.2021";"345,637"
"23.06.2021";"345,579"
"22.06.2021";"345,368"
"21.06.2021";"345,446"
"18.06.2021";"345,674"
"17.06.2021";"345,641"
"16.06.2021";"346,071"
"15.06.2021";"346,251"
"14.06.2021";"346,267"
"11.06.2021";"346,136"
"10.06.2021";"345,779"
"09.06.2021";"345,675"
"08.06.2021";"345,378"
"07.06.2021";"345,091"
"04.06.2021";"344,853"
"03.06.2021";"344,636"
"02.06.2021";"344,533"
"01.06.2021";"344,172"
"31.05.2021";"343,72"
"28.05.2021";"343,6"
"27.05.2021";"343,396"
"26.05.2021";"343,258"
"25.05.2021";"343,009"
"24.05.2021";"342,679"
"21.05.2021";"342,556"
"20.05.2021";"342,343"
"19.05.2021";"342,351"
"18.05.2021";"342,697"
"17.05.2021";"342,585"
"14.05.2021";"342,42"
"13.05.2021";"342,163"
"12.05.2021";"342,611"
"11.05.2021";"342,828"
"10.05.2021";"343,284"
"07.05.2021";"343,132"
"06.05.2021";"343,1"
"05.05.2021";"343,226"
"04.05.2021";"343,241"
"03.05.2021";"343,115"
"30.04.2021";"343,023"
"29.04.2021";"342,916"
"28.04.2021";"342,751"
"27.04.2021";"342,665"
"26.04.2021";"342,595"
"23.04.2021";"342,505"
"22.04.2021";"342,504"
"21.04.2021";"342,376"
"20.04.2021";"342,53"
"19.04.2021";"343,002"
"16.04.2021";"342,974"
"15.04.2021";"342,774"
"14.04.2021";"342,504"
"13.04.2021";"342,456"
"12.04.2021";"342,599"
"09.04.2021";"342,464"
"08.04.2021";"342,484"
"07.04.2021";"342,323"
"06.04.2021";"342,113"
"05.04.2021";"341,603"
"01.04.2021";"341,477"
"31.03.2021";"340,783"
"30.03.2021";"340,491"
"29.03.2021";"340,502"
"26.03.2021";"340,432"
"25.03.2021";"340,357"
"24.03.2021";"340,208"
"23.03.2021";"340,059"
"22.03.2021";"339,871"
"19.03.2021";"339,801"
"18.03.2021";"340,008"
"17.03.2021";"340,329"
"16.03.2021";"340,508"
"15.03.2021";"340,359"
"12.03.2021";"340,181"
"11.03.2021";"340,22"
"10.03.2021";"339,225"
"09.03.2021";"339,054"
"08.03.2021";"339,014"
"05.03.2021";"339,269"
"04.03.2021";"339,805"
"03.03.2021";"340,02"
"02.03.2021";"339,932"
"01.03.2021";"339,6"
"26.02.2021";"338,89"
"25.02.2021";"339,995"
"24.02.2021";"340,399"
"23.02.2021";"340,361"
"22.02.2021";"340,408"
"19.02.2021";"340,438"
"18.02.2021";"340,417"
"17.02.2021";"340,412"
"16.02.2021";"340,518"
"15.02.2021";"340,376"
"12.02.2021";"340,171"
"11.02.2021";"340,186"
"10.02.2021";"340,041"
"09.02.2021";"339,849"
"08.02.2021";"339,932"
"05.02.2021";"339,748"
"04.02.2021";"339,296"
"03.02.2021";"339,189"
"02.02.2021";"338,344"
"01.02.2021";"337,598"
"29.01.2021";"336,954"
"28.01.2021";"336,465"
"27.01.2021";"337,066"
"26.01.2021";"337,543"
"25.01.2021";"337,752"
"22.01.2021";"337,969"
"21.01.2021";"338,182"
"20.01.2021";"337,784"
"19.01.2021";"337,12"
"18.01.2021";"336,855"
