sep=;
"Date";"Line(Q.MERG0BC)"
"03.06.2022";"312,1"
"02.06.2022";"312,869"
"01.06.2022";"312,989"
"31.05.2022";"313,78"
"30.05.2022";"314,973"
"27.05.2022";"315,12"
"26.05.2022";"314,521"
"25.05.2022";"313,851"
"24.05.2022";"312,853"
"23.05.2022";"311,089"
"20.05.2022";"312,036"
"19.05.2022";"311,136"
"18.05.2022";"310,966"
"17.05.2022";"310,266"
"16.05.2022";"311,992"
"13.05.2022";"311,516"
"12.05.2022";"313,354"
"11.05.2022";"312,012"
"10.05.2022";"311,039"
"09.05.2022";"309,668"
"06.05.2022";"309,621"
"05.05.2022";"311,129"
"04.05.2022";"313,081"
"03.05.2022";"312,74"
"02.05.2022";"312,112"
"29.04.2022";"313,916"
"28.04.2022";"314,703"
"27.04.2022";"315,872"
"26.04.2022";"316,786"
"25.04.2022";"316,093"
"22.04.2022";"314,944"
"21.04.2022";"315,853"
"20.04.2022";"317,587"
"19.04.2022";"316,407"
"18.04.2022";"317,829"
"14.04.2022";"318,504"
"13.04.2022";"320,265"
"12.04.2022";"320,117"
"11.04.2022";"319,639"
"08.04.2022";"321,516"
"07.04.2022";"322,926"
"06.04.2022";"323,734"
"05.04.2022";"324,969"
"04.04.2022";"327,132"
"01.04.2022";"326,974"
"31.03.2022";"327,265"
"30.03.2022";"326,633"
"29.03.2022";"325,777"
"28.03.2022";"324,392"
"25.03.2022";"323,924"
"24.03.2022";"325,847"
"23.03.2022";"326,352"
"22.03.2022";"325,22"
"21.03.2022";"326,152"
"18.03.2022";"328,299"
"17.03.2022";"326,974"
"16.03.2022";"325,496"
"15.03.2022";"324,891"
"14.03.2022";"324,998"
"11.03.2022";"327,542"
"10.03.2022";"327,784"
"09.03.2022";"329,532"
"08.03.2022";"330,621"
"07.03.2022";"333,787"
"04.03.2022";"335,852"
"03.03.2022";"334,6"
"02.03.2022";"334,569"
"01.03.2022";"337,523"
"28.02.2022";"334,891"
"25.02.2022";"332,66"
"24.02.2022";"332,262"
"23.02.2022";"333,545"
"22.02.2022";"334,064"
"21.02.2022";"335,196"
"18.02.2022";"335,288"
"17.02.2022";"334,806"
"16.02.2022";"334,287"
"15.02.2022";"334,447"
"14.02.2022";"335,385"
"11.02.2022";"336,6"
"10.02.2022";"336,234"
"09.02.2022";"338,393"
"08.02.2022";"337,6"
"07.02.2022";"338,103"
"04.02.2022";"338,458"
"03.02.2022";"341,207"
"02.02.2022";"343,172"
"01.02.2022";"342,407"
"31.01.2022";"342,536"
"28.01.2022";"342,936"
"27.01.2022";"343,394"
"26.01.2022";"343,467"
"25.01.2022";"344,14"
"24.01.2022";"345,044"
"21.01.2022";"345,346"
"20.01.2022";"344,432"
"19.01.2022";"344,47"
"18.01.2022";"343,844"
"17.01.2022";"345,72"
"14.01.2022";"345,87"
"13.01.2022";"347,354"
"12.01.2022";"347,155"
"11.01.2022";"346,941"
"10.01.2022";"346,539"
"07.01.2022";"346,909"
"06.01.2022";"347,573"
"05.01.2022";"348,295"
"04.01.2022";"348,54"
"03.01.2022";"349,31"
"31.12.2021";"351,51"
"30.12.2021";"350,986"
"29.12.2021";"350,443"
"28.12.2021";"351,395"
"27.12.2021";"351,316"
"23.12.2021";"350,927"
"22.12.2021";"351,727"
"21.12.2021";"351,075"
"20.12.2021";"352,243"
"17.12.2021";"352,797"
"16.12.2021";"352,372"
"15.12.2021";"351,904"
"14.12.2021";"352,606"
"13.12.2021";"353,202"
"10.12.2021";"351,918"
"09.12.2021";"352,062"
"08.12.2021";"351,703"
"07.12.2021";"352,722"
"06.12.2021";"352,876"
"03.12.2021";"353,873"
"02.12.2021";"351,972"
"01.12.2021";"352,056"
"30.11.2021";"352,101"
"29.11.2021";"350,701"
"26.11.2021";"351,337"
"25.11.2021";"349,562"
"24.11.2021";"349,509"
"23.11.2021";"349,333"
"22.11.2021";"350,574"
"19.11.2021";"352,182"
"18.11.2021";"351,047"
"17.11.2021";"350,38"
"16.11.2021";"350,256"
"15.11.2021";"350,871"
"12.11.2021";"351,886"
"11.11.2021";"352,559"
"10.11.2021";"352,687"
"09.11.2021";"355,01"
"08.11.2021";"353,907"
"05.11.2021";"354,334"
"04.11.2021";"352,613"
"03.11.2021";"351,324"
"02.11.2021";"351,729"
"01.11.2021";"351,021"
"29.10.2021";"351,387"
"28.10.2021";"351,786"
"27.10.2021";"352,552"
"26.10.2021";"350,597"
"25.10.2021";"350,036"
"22.10.2021";"349,544"
"21.10.2021";"349,144"
"20.10.2021";"349,933"
"19.10.2021";"350,074"
"18.10.2021";"350,971"
"15.10.2021";"350,981"
"14.10.2021";"351,565"
"13.10.2021";"350,759"
"12.10.2021";"349,796"
"11.10.2021";"349,642"
"08.10.2021";"349,763"
"07.10.2021";"350,635"
"06.10.2021";"351,394"
"05.10.2021";"351,467"
"04.10.2021";"352,425"
"01.10.2021";"352,582"
"30.09.2021";"351,582"
"29.09.2021";"351,92"
"28.09.2021";"352,042"
"27.09.2021";"353,406"
"24.09.2021";"353,505"
"23.09.2021";"354,348"
"22.09.2021";"355,794"
"21.09.2021";"355,758"
"20.09.2021";"355,854"
"17.09.2021";"354,909"
"16.09.2021";"355,535"
"15.09.2021";"355,965"
"14.09.2021";"356,423"
"13.09.2021";"355,588"
"10.09.2021";"355,061"
"09.09.2021";"355,607"
"08.09.2021";"354,606"
"07.09.2021";"354,106"
"06.09.2021";"355,112"
"03.09.2021";"355,011"
"02.09.2021";"355,558"
"01.09.2021";"355,242"
"31.08.2021";"355,122"
